"","Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev","teams","opp","date","pinn.odds","totals","opp_dfsnm","AvgPEV","Cnt","DKPos"
"123","SG/SF","Paul Zipser",3000,"Mia@Chi 08:00PM ET",6.221,"CHI","Chicago","Miami",2017-01-27,-7.5,203.5,"MIA",0.181427027027027,37,"SG"
"124","SG","Rodney McGruder",3000,"Mia@Chi 08:00PM ET",13.81,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",0.374644186046511,43,"SG"
"125","SG","James Jones",3000,"Bkn@Cle 07:30PM ET",5,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",1.01503611111111,36,"SG"
"126","SG","DeAndre Liggins",3000,"Bkn@Cle 07:30PM ET",8.681,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",1.01503611111111,36,"SG"
"127","SG","Jordan McRae",3000,"Bkn@Cle 07:30PM ET",7.929,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",1.01503611111111,36,"SG"
"128","PG/SG","Ron Baker",3000,"Cha@NY 07:30PM ET",8.429,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",-0.133582926829268,41,"SG"
"129","SG","Sasha Vujacic",3000,"Cha@NY 07:30PM ET",5.49,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",-0.133582926829268,41,"SG"
"130","PG/SG","Rodney Stuckey",3000,"Sac@Ind 07:00PM ET",15.794,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",0.960753846153846,39,"SG"
"131","SG/SF","Glenn Robinson III",3000,"Sac@Ind 07:00PM ET",13.453,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",0.960753846153846,39,"SG"
"132","SG","Arron Afflalo",3000,"Sac@Ind 07:00PM ET",12.776,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",2.77987777777778,36,"SG"
"133","SG","Joe Young",3000,"Sac@Ind 07:00PM ET",4.762,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",0.960753846153846,39,"SG"
"134","SG","Ben McLemore",3000,"Sac@Ind 07:00PM ET",8.485,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",2.77987777777778,36,"SG"
"135","SG","Malachi Richardson",3000,"Sac@Ind 07:00PM ET",6.55,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",2.77987777777778,36,"SG"
"136","SG/SF","Corey Brewer",3000,"Hou@Phi 08:00PM ET",9.806,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-0.634990243902439,41,"SG"
"137","SG/SF","Timothe Luwawu-Cabarrot",3000,"Hou@Phi 08:00PM ET",6.315,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",2.20181707317073,41,"SG"
"138","SG","Jason Terry",3000,"Mil@Tor 07:30PM ET",8.404,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.852089583333333,48,"SG"
"139","SG","Khris Middleton",3000,"Mil@Tor 07:30PM ET",0,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.852089583333333,48,"SG"
"140","SG","Rashad Vaughn",3000,"Mil@Tor 07:30PM ET",7.316,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.852089583333333,48,"SG"
"141","SG","Troy Daniels",3000,"Mem@Por 10:00PM ET",14.159,"MEM","Memphis","Portland",2017-01-27,1,205.5,"POR",0.663672222222222,36,"SG"
"142","SG","Troy Williams",3000,"Mem@Por 10:00PM ET",10.72,"MEM","Memphis","Portland",2017-01-27,1,205.5,"POR",0.663672222222222,36,"SG"
"143","SF","LeBron James",10200,"Bkn@Cle 07:30PM ET",51.994,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",3.0450775,40,"SF"
"144","SF","Kawhi Leonard",9000,"SA@NO 08:00PM ET",42.732,"SAS","San Antonio","New Orleans",2017-01-27,-6,210.5,"NOR",1.68887428571429,35,"SF"
"145","SG/SF","Jimmy Butler",8900,"Mia@Chi 08:00PM ET",44.183,"CHI","Chicago","Miami",2017-01-27,-7.5,203.5,"MIA",0.314451428571428,35,"SF"
"146","SF/PF","Paul George",7900,"Sac@Ind 07:00PM ET",38.651,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",-0.596881081081081,37,"SF"
"147","SG/SF","Nicolas Batum",7300,"Cha@NY 07:30PM ET",35.82,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",1.12743,50,"SF"
"148","SF","Carmelo Anthony",7200,"Cha@NY 07:30PM ET",37.723,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",0.79964347826087,46,"SF"
"149","SF/PF","Jabari Parker",7000,"Mil@Tor 07:30PM ET",35.039,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.18627,40,"SF"
"150","SF/PF","Markieff Morris",6800,"Was@Atl 08:00PM ET",28.142,"WAS","Washington","Atlanta",2017-01-27,3.5,214.5,"ATL",-0.74274,45,"SF"
"151","SG/SF","Dion Waiters",6800,"Mia@Chi 08:00PM ET",27.01,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",-1.0578,40,"SF"
"152","SF/PF","Otto Porter",6000,"Was@Atl 08:00PM ET",29.711,"WAS","Washington","Atlanta",2017-01-27,3.5,214.5,"ATL",-0.74274,45,"SF"
"153","SF","Jae Crowder",5900,"Orl@Bos 07:30PM ET",26.905,"BOS","Boston","Orlando",2017-01-27,-8,215.5,"ORL",-0.40594,40,"SF"
"154","SF","Robert Covington",5700,"Hou@Phi 08:00PM ET",25.738,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",2.93303333333333,39,"SF"
"155","SG/SF","Tyreke Evans",5600,"SA@NO 08:00PM ET",22.361,"NOR","New Orleans","San Antonio",2017-01-27,6,210.5,"SAS",0.83241282051282,39,"SF"
"156","SF/PF","Aaron Gordon",5400,"Orl@Bos 07:30PM ET",22.91,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",0.139183783783784,37,"SF"
"157","SF/PF","Trevor Ariza",5400,"Hou@Phi 08:00PM ET",27.52,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-2.9368275,40,"SF"
"158","SF","Michael Kidd-Gilchrist",5300,"Cha@NY 07:30PM ET",24.1,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",1.12743,50,"SF"
"159","SG/SF","Kent Bazemore",5100,"Was@Atl 08:00PM ET",22.278,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",0.46685641025641,39,"SF"
"160","SG/SF","Evan Turner",4700,"Mem@Por 10:00PM ET",21.267,"POR","Portland","Memphis",2017-01-27,-1,205.5,"MEM",0.188205714285714,35,"SF"
"161","SG/SF","Norman Powell",4600,"Mil@Tor 07:30PM ET",11.905,"TOR","Toronto","Milwaukee",2017-01-27,-5,212.5,"MIL",4.97270425531915,47,"SF"
"162","SG/SF","Josh Richardson",4500,"Mia@Chi 08:00PM ET",22.473,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",-1.0578,40,"SF"
"163","SF","Wayne Ellington",4300,"Mia@Chi 08:00PM ET",18.423,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",-1.0578,40,"SF"
"164","SF","DeMarre Carroll",4300,"Mil@Tor 07:30PM ET",19.427,"TOR","Toronto","Milwaukee",2017-01-27,-5,212.5,"MIL",4.97270425531915,47,"SF"
"165","SG/SF","Garrett Temple",4200,"Sac@Ind 07:00PM ET",18.15,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",-1.50467096774194,31,"SF"
"166","SF/PF","Dario Saric",4200,"Hou@Phi 08:00PM ET",20.943,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",2.93303333333333,39,"SF"
"167","SG/SF","Terrence Ross",4200,"Mil@Tor 07:30PM ET",18.033,"TOR","Toronto","Milwaukee",2017-01-27,-5,212.5,"MIL",4.97270425531915,47,"SF"
"168","SF/PF","Jeff Green",4000,"Orl@Bos 07:30PM ET",16.603,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",0.139183783783784,37,"SF"
"169","SG/SF","Kyle Korver",4000,"Bkn@Cle 07:30PM ET",18.313,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",3.0450775,40,"SF"
"170","SG/SF","Caris LeVert",4000,"Bkn@Cle 07:30PM ET",15.156,"BKN","Brooklyn","Cleveland",2017-01-27,15.5,227.5,"CLE",2.32966829268293,41,"SF"
"171","SF/PF","Rondae Hollis-Jefferson",3900,"Bkn@Cle 07:30PM ET",19.36,"BKN","Brooklyn","Cleveland",2017-01-27,15.5,227.5,"CLE",2.32966829268293,41,"SF"
"172","SG/SF","Marco Belinelli",3900,"Cha@NY 07:30PM ET",18.799,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",1.12743,50,"SF"
"173","SF/PF","Matt Barnes",3900,"Sac@Ind 07:00PM ET",18.94,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",-1.50467096774194,31,"SF"
"174","SF/PF","Sam Dekker",3800,"Hou@Phi 08:00PM ET",16.133,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-2.9368275,40,"SF"
"175","SF","Solomon Hill",3800,"SA@NO 08:00PM ET",15.886,"NOR","New Orleans","San Antonio",2017-01-27,6,210.5,"SAS",0.83241282051282,39,"SF"
"176","SF","James Ennis III",3800,"Mem@Por 10:00PM ET",17.311,"MEM","Memphis","Portland",2017-01-27,1,205.5,"POR",0.6243625,32,"SF"
"177","SF","Maurice Harkless",3800,"Mem@Por 10:00PM ET",22.477,"POR","Portland","Memphis",2017-01-27,-1,205.5,"MEM",0.188205714285714,35,"SF"
"178","SG/SF","Thabo Sefolosha",3700,"Was@Atl 08:00PM ET",19.785,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",0.46685641025641,39,"SF"
"179","SF","C.J. Miles",3700,"Sac@Ind 07:00PM ET",18.154,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",-0.596881081081081,37,"SF"
"180","SG/SF","Allen Crabbe",3700,"Mem@Por 10:00PM ET",17.904,"POR","Portland","Memphis",2017-01-27,-1,205.5,"MEM",0.188205714285714,35,"SF"
"181","SF/PF","Dante Cunningham",3600,"SA@NO 08:00PM ET",15.333,"NOR","New Orleans","San Antonio",2017-01-27,6,210.5,"SAS",0.83241282051282,39,"SF"
"182","SG/SF","Vince Carter",3600,"Mem@Por 10:00PM ET",17.725,"MEM","Memphis","Portland",2017-01-27,1,205.5,"POR",0.6243625,32,"SF"
"183","SG/SF","Kelly Oubre Jr.",3500,"Was@Atl 08:00PM ET",13.767,"WAS","Washington","Atlanta",2017-01-27,3.5,214.5,"ATL",-0.74274,45,"SF"
"184","SF","Omri Casspi",3500,"Sac@Ind 07:00PM ET",13.614,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",-1.50467096774194,31,"SF"
"185","SF/PF","Michael Beasley",3500,"Mil@Tor 07:30PM ET",16.324,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.18627,40,"SF"
"186","SG/SF","Jonathon Simmons",3500,"SA@NO 08:00PM ET",13.273,"SAS","San Antonio","New Orleans",2017-01-27,-6,210.5,"NOR",1.68887428571429,35,"SF"
"187","SF","Doug McDermott",3400,"Mia@Chi 08:00PM ET",16.721,"CHI","Chicago","Miami",2017-01-27,-7.5,203.5,"MIA",0.314451428571428,35,"SF"
"188","SF/PF","Anthony Tolliver",3400,"Sac@Ind 07:00PM ET",13.72,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",-1.50467096774194,31,"SF"
"189","SF","Mario Hezonja",3200,"Orl@Bos 07:30PM ET",6.75,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",0.139183783783784,37,"SF"
"190","SF","Chandler Parsons",3200,"Mem@Por 10:00PM ET",12.737,"MEM","Memphis","Portland",2017-01-27,1,205.5,"POR",0.6243625,32,"SF"
"191","SF","Mindaugas Kuzminskas",3100,"Cha@NY 07:30PM ET",10.813,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",0.79964347826087,46,"SF"
"192","SF","Tony Snell",3100,"Mil@Tor 07:30PM ET",16.233,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.18627,40,"SF"
"193","SF","Mike Dunleavy",3000,"Was@Atl 08:00PM ET",9.887,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",0.46685641025641,39,"SF"
"194","SF","Marcus Thornton",3000,"Was@Atl 08:00PM ET",12.712,"WAS","Washington","Atlanta",2017-01-27,3.5,214.5,"ATL",-0.74274,45,"SF"
"195","SF","Taurean Prince",3000,"Was@Atl 08:00PM ET",7.894,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",0.46685641025641,39,"SF"
"196","SF","DeAndre' Bembry",3000,"Was@Atl 08:00PM ET",4.618,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",0.46685641025641,39,"SF"
"197","SF","Anthony Brown",3000,"Orl@Bos 07:30PM ET",9.375,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",0.139183783783784,37,"SF"
"198","SF","Damjan Rudez",3000,"Orl@Bos 07:30PM ET",3.902,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",0.139183783783784,37,"SF"
"199","SF","Jaylen Brown",3000,"Orl@Bos 07:30PM ET",9.432,"BOS","Boston","Orlando",2017-01-27,-8,215.5,"ORL",-0.40594,40,"SF"
"200","SG/SF","Paul Zipser",3000,"Mia@Chi 08:00PM ET",6.221,"CHI","Chicago","Miami",2017-01-27,-7.5,203.5,"MIA",0.314451428571428,35,"SF"
"201","SF","Derrick Williams",3000,"Mia@Chi 08:00PM ET",11.813,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",-1.0578,40,"SF"
"202","SF","Denzel Valentine",3000,"Mia@Chi 08:00PM ET",7.611,"CHI","Chicago","Miami",2017-01-27,-7.5,203.5,"MIA",0.314451428571428,35,"SF"
"203","SF/PF","Richard Jefferson",3000,"Bkn@Cle 07:30PM ET",10.105,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",3.0450775,40,"SF"
"204","SF","Joe Harris",3000,"Bkn@Cle 07:30PM ET",15.806,"BKN","Brooklyn","Cleveland",2017-01-27,15.5,227.5,"CLE",2.32966829268293,41,"SF"
"205","SF/PF","Lance Thomas",3000,"Cha@NY 07:30PM ET",9.15,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",0.79964347826087,46,"SF"
"206","SF","Treveon Graham",3000,"Cha@NY 07:30PM ET",3.232,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",1.12743,50,"SF"
"207","SG/SF","Glenn Robinson III",3000,"Sac@Ind 07:00PM ET",13.453,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",-0.596881081081081,37,"SF"
"208","SF","Rudy Gay",3000,"Sac@Ind 07:00PM ET",35.2,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",-1.50467096774194,31,"SF"
"209","SG/SF","Corey Brewer",3000,"Hou@Phi 08:00PM ET",9.806,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-2.9368275,40,"SF"
"210","SG/SF","Timothe Luwawu-Cabarrot",3000,"Hou@Phi 08:00PM ET",6.315,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",2.93303333333333,39,"SF"
"211","SF","K.J. McDaniels",3000,"Hou@Phi 08:00PM ET",5.59,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-2.9368275,40,"SF"
"212","SF","Ben Simmons",3000,"Hou@Phi 08:00PM ET",0,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",2.93303333333333,39,"SF"
"213","SF","Steve Novak",3000,"Mil@Tor 07:30PM ET",1.156,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.18627,40,"SF"
"214","SF","Bruno Caboclo",3000,"Mil@Tor 07:30PM ET",2.313,"TOR","Toronto","Milwaukee",2017-01-27,-5,212.5,"MIL",4.97270425531915,47,"SF"
"215","SF/PF","Davis Bertans",3000,"SA@NO 08:00PM ET",7.568,"SAS","San Antonio","New Orleans",2017-01-27,-6,210.5,"NOR",1.68887428571429,35,"SF"
"216","SF","Quincy Pondexter",3000,"SA@NO 08:00PM ET",0,"NOR","New Orleans","San Antonio",2017-01-27,6,210.5,"SAS",0.83241282051282,39,"SF"
"217","SF","Pat Connaughton",3000,"Mem@Por 10:00PM ET",3.682,"POR","Portland","Memphis",2017-01-27,-1,205.5,"MEM",0.188205714285714,35,"SF"
"218","PF/C","DeMarcus Cousins",11000,"Sac@Ind 07:00PM ET",53.188,"SAC","Sacramento","Indiana",2017-01-27,4.5,210.5,"IND",-1.50571142857143,35,"PF"
"219","PF/C","Kevin Love",8100,"Bkn@Cle 07:30PM ET",40.795,"CLE","Cleveland","Brooklyn",2017-01-27,-15.5,227.5,"BKN",-1.655585,40,"PF"
"220","SF/PF","Paul George",7900,"Sac@Ind 07:00PM ET",38.651,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",0.0758555555555552,36,"PF"
"221","PF","LaMarcus Aldridge",7600,"SA@NO 08:00PM ET",33.098,"SAS","San Antonio","New Orleans",2017-01-27,-6,210.5,"NOR",1.38760606060606,33,"PF"
"222","PF","Paul Millsap",7400,"Was@Atl 08:00PM ET",38.797,"ATL","Atlanta","Washington",2017-01-27,-3.5,214.5,"WAS",2.8069358974359,39,"PF"
"223","SF/PF","Jabari Parker",7000,"Mil@Tor 07:30PM ET",35.039,"MIL","Milwaukee","Toronto",2017-01-27,5,212.5,"TOR",0.0284710526315787,38,"PF"
"224","PF/C","Terrence Jones",6900,"SA@NO 08:00PM ET",24.29,"NOR","New Orleans","San Antonio",2017-01-27,6,210.5,"SAS",-0.0436228571428572,35,"PF"
"225","SF/PF","Markieff Morris",6800,"Was@Atl 08:00PM ET",28.142,"WAS","Washington","Atlanta",2017-01-27,3.5,214.5,"ATL",-0.234097222222222,36,"PF"
"226","PF/C","Serge Ibaka",6300,"Orl@Bos 07:30PM ET",30.277,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",1.84642285714286,35,"PF"
"227","PF","Kristaps Porzingis",6200,"Cha@NY 07:30PM ET",35.4,"NYK","New York","Charlotte",2017-01-27,1,211.5,"CHA",0.995565,40,"PF"
"228","SF/PF","Otto Porter",6000,"Was@Atl 08:00PM ET",29.711,"WAS","Washington","Atlanta",2017-01-27,3.5,214.5,"ATL",-0.234097222222222,36,"PF"
"229","PF/C","Zach Randolph",6000,"Mem@Por 10:00PM ET",27.931,"MEM","Memphis","Portland",2017-01-27,1,205.5,"POR",-1.66895428571429,35,"PF"
"230","PF","Ersan Ilyasova",5900,"Hou@Phi 08:00PM ET",27.267,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",1.65426923076923,39,"PF"
"231","PF/C","David Lee",5900,"SA@NO 08:00PM ET",17.165,"SAS","San Antonio","New Orleans",2017-01-27,-6,210.5,"NOR",1.38760606060606,33,"PF"
"232","PF/C","Nerlens Noel",5800,"Hou@Phi 08:00PM ET",18.778,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",1.65426923076923,39,"PF"
"233","PF","Thaddeus Young",5700,"Sac@Ind 07:00PM ET",25.983,"IND","Indiana","Sacramento",2017-01-27,-4.5,210.5,"SAC",0.0758555555555552,36,"PF"
"234","PF","James Johnson",5600,"Mia@Chi 08:00PM ET",25.085,"MIA","Miami","Chicago",2017-01-27,7.5,203.5,"CHI",0.150169444444444,36,"PF"
"235","SF/PF","Aaron Gordon",5400,"Orl@Bos 07:30PM ET",22.91,"ORL","Orlando","Boston",2017-01-27,8,215.5,"BOS",1.84642285714286,35,"PF"
"236","SF/PF","Trevor Ariza",5400,"Hou@Phi 08:00PM ET",27.52,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-2.57673611111111,36,"PF"
"237","PF","Marvin Williams",4800,"Cha@NY 07:30PM ET",22.619,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",0.829271111111111,45,"PF"
"238","PF","Ryan Anderson",4800,"Hou@Phi 08:00PM ET",23.924,"HOU","Houston","Philadelphia",2017-01-27,-6.5,220,"PHI",-2.57673611111111,36,"PF"
"239","PF/C","Taj Gibson",4600,"Mia@Chi 08:00PM ET",24.783,"CHI","Chicago","Miami",2017-01-27,-7.5,203.5,"MIA",-1.08688787878788,33,"PF"
"240","PF","Trevor Booker",4600,"Bkn@Cle 07:30PM ET",27.5,"BKN","Brooklyn","Cleveland",2017-01-27,15.5,227.5,"CLE",3.61101944444444,36,"PF"
"241","PF","Al-Farouq Aminu",4500,"Mem@Por 10:00PM ET",21.533,"POR","Portland","Memphis",2017-01-27,-1,205.5,"MEM",-0.183688235294118,34,"PF"
"242","PF","JaMychal Green",4400,"Mem@Por 10:00PM ET",22.989,"MEM","Memphis","Portland",2017-01-27,1,205.5,"POR",-1.66895428571429,35,"PF"
"243","PF/C","Spencer Hawes",4300,"Cha@NY 07:30PM ET",16.919,"CHA","Charlotte","New York",2017-01-27,-1,211.5,"NYK",0.829271111111111,45,"PF"
"244","PF/C","Kelly Olynyk",4200,"Orl@Bos 07:30PM ET",18.814,"BOS","Boston","Orlando",2017-01-27,-8,215.5,"ORL",-3.58241,40,"PF"
"245","SF/PF","Dario Saric",4200,"Hou@Phi 08:00PM ET",20.943,"PHI","Philadelphia","Houston",2017-01-27,6.5,220,"HOU",1.65426923076923,39,"PF"
